uid,name
29745906,Aquacentrum Pardubice
29746009,Sokolovna - Na Olšinkách
29746047,U Katastrálního úřadu
29746068,Komenského náměstí
29746123,Sezemická
29746679,Záchytné parkoviště - Kasárna T.G.M
29747497,Dům kultury Dukla
29749806,Dopravní podnik
29749855,Svítkov - pošta
29749951,Úřad městského obvodu - Pardubice VII
29750190,Polabiny Kpt. Bartoše
29750264,Kaufland - Bělehradská
29750615,Jiřího Tomana
29751228,Studentská - univerzita
29751388,Náměstí Dukelských hrdinů
29751426,Univerzitní knihovna
29751467,Rektorát - univerzita
29751502,Sportovní hala UP
29751545,Labská - U Zdymadla
29751592,Zimní stadion - parkoviště
29751674,Zimní stadion - hlavní vchod
29751736,OC Palác Pardubice - vchod A
29751789,OC Atrium - vchod B
29751918,17. listopadu 
29752309,Hlavní nádraží
29752472,Za Grandem
29752573,Park na špici
29753372,Poliklinika Vektor
29753410,Na Spravedlnosti - K.Ř. PČR
29992386,Náměstí Republiky
29992613,Dašická sportovní hala
30278163,H centrum
30613108,Pernštýnské náměstí
30613827,Třída Míru - pošta
30613955,UP - Fakulta Elektrotechniky a informatiky
30925063,Nemocnice Pardubice
31868207,Dubina
35855774,Třída Míru Pardubice 2
35855809,Třída Míru Pardubice 3
55016987,Pardubice Workshop
